id,score,score_factor
1215,1,good
1216,2,good
1217,4,good
1218,6,very good
1219,6,very good
1220,-1,bad
1221,12,very good
1222,12,very good
1223,1,good
1224,4,good
1225,1,good
1226,1,good
1227,4,good
1228,1,good
1229,3,good
1230,3,good
1231,4,good
1232,1,good
1233,1,good
1234,-3,bad
1235,4,good
1236,1,good
1237,4,good
1238,4,good
1239,4,good
1240,1,good
1241,1,good
1242,1,good
1243,4,good
1244,1,good
1245,4,good
1246,-1,bad
1247,2,good
1248,1,good
1249,6,very good
1250,1,good
1251,4,good
1252,4,good
1253,-1,bad
1254,1,good
1255,-3,bad
1256,1,good
1257,-3,bad
1258,4,good
1259,12,very good
1260,1,good
1261,1,good
1262,1,good
1263,4,good
1264,4,good
1265,1,good
1266,3,good
1267,1,good
1268,1,good
1269,4,good
1270,1,good
1271,1,good
1272,1,good
1273,-1,bad
1274,-1,bad
1275,4,good
1276,1,good
1277,3,good
1278,-9,very bad
1279,1,good
1280,1,good
1281,-3,bad
1282,4,good
1283,1,good
1284,-24,very bad
1285,-1,bad
1286,4,good
1287,4,good
1288,3,good
1289,4,good
1290,1,good
1291,4,good
1292,-5,bad
1293,1,good
1294,1,good
1295,1,good
1296,2,good
1297,1,good
1298,1,good
1299,3,good
1300,3,good
1301,5,very good
1302,1,good
1303,1,good
1304,16,very good
1305,1,good
1306,1,good
1307,-3,bad
1308,1,good
1309,-3,bad
1310,3,good
1311,3,good
1312,3,good
1313,4,good
1314,1,good
1315,1,good
1316,-3,bad
1317,4,good
1318,1,good
1319,1,good
1320,1,good
1321,8,very good
1322,12,very good
1323,8,very good
1324,1,good
1325,1,good
1326,-3,bad
1327,-3,bad
1328,-3,bad
1329,6,very good
1330,4,good
1331,1,good
1332,3,good
1333,1,good
1334,1,good
1335,3,good
1336,2,good
1337,2,good
1338,1,good
1339,4,good
1340,1,good
1341,4,good
1342,-4,bad
1343,4,good
1344,4,good
1345,4,good
1346,4,good
1347,1,good
1348,1,good
1349,2,good
1350,6,very good
1351,1,good
1352,-3,bad
1353,1,good
1354,6,very good
1355,6,very good
1356,6,very good
1357,1,good
1358,1,good
1359,2,good
1360,2,good
1361,1,good
1362,1,good
1363,1,good
1364,1,good
1365,1,good
1366,6,very good
1367,4,good
1368,1,good
1369,5,very good
1370,-1,bad
1371,8,very good
1372,4,good
1373,1,good
1374,8,very good
1375,-1,bad
1376,-3,bad
1377,-3,bad
1378,16,very good
1379,64,very good
1380,1,good
1381,-48,very bad
1382,1,good
1383,-3,bad
1384,4,good
1385,3,good
1386,-1,bad
1387,3,good
1388,-1,bad
1389,4,good
1390,1,good
1391,-3,bad
1392,-3,bad
1393,-3,bad
1394,1,good
1395,3,good
1396,16,very good
1397,3,good
1398,1,good
1399,4,good
1400,2,good
1401,-3,bad
1402,1,good
1403,3,good
1404,12,very good
1405,3,good
1406,3,good
1407,7,very good
1408,2,good
1409,4,good
1410,1,good
1411,1,good
1412,4,good
1413,4,good
1414,4,good
1415,4,good
1416,1,good
1417,8,very good
1418,1,good
1419,3,good
1420,1,good
1421,3,good
1422,1,good
1423,1,good
1424,-5,bad
1425,-4,bad
1426,4,good
1427,-3,bad
1428,6,very good
1429,1,good
1430,6,very good
1431,6,very good
1432,-3,bad
1433,4,good
1434,1,good
1435,1,good
1436,1,good
1437,1,good
1438,1,good
1439,1,good
1440,1,good
1441,1,good
1442,1,good
1443,4,good
1444,-3,bad
1445,4,good
1446,1,good
1447,1,good
1448,1,good
1449,1,good
1450,1,good
1451,1,good
1452,1,good
1453,1,good
1454,1,good
1455,1,good
1456,1,good
1457,1,good
1458,15,very good
1459,1,good
1460,1,good
1461,1,good
1462,-16,very bad
1463,4,good
1464,4,good
1465,4,good
1466,4,good
1467,6,very good
1468,1,good
1469,4,good
1470,1,good
1471,1,good
1472,1,good
1473,3,good
1474,4,good
1475,1,good
1476,4,good
1477,4,good
1478,-2,bad
1479,1,good
1480,1,good
1481,-3,bad
1482,1,good
1483,1,good
1484,3,good
1485,5,very good
1486,-8,very bad
1487,-1,bad
1488,-1,bad
1489,1,good
1490,1,good
1491,1,good
1492,1,good
1493,1,good
1494,1,good
1495,20,very good
1496,3,good
1497,6,very good
1498,4,good
1499,1,good
1500,1,good
1501,1,good
1502,1,good
1503,1,good
1504,1,good
1505,3,good
1506,6,very good
1507,3,good
1508,6,very good
1509,6,very good
1510,6,very good
1511,-3,bad
1512,-3,bad
1513,12,very good
1514,4,good
1515,4,good
1516,-4,bad
1517,3,good
1518,6,very good
1519,1,good
1520,1,good
1521,1,good
1522,-3,bad
1523,-3,bad
1524,4,good
1525,1,good
1526,4,good
1527,5,very good
1528,5,very good
1529,5,very good
1530,1,good
1531,3,good
1532,3,good
1533,3,good
1534,3,good
1535,4,good
1536,6,very good
1537,2,good
1538,2,good
1539,2,good
1540,2,good
1541,2,good
1542,3,good
1543,3,good
1544,4,good
1545,16,very good
1546,2,good
1547,1,good
1548,4,good
1549,1,good
1550,-3,bad
1551,3,good
1552,1,good
1553,1,good
1554,1,good
1555,1,good
1556,1,good
1557,1,good
1558,6,very good
1559,1,good
1560,3,good
1561,1,good
1562,1,good
1563,1,good
1564,1,good
1565,1,good
1566,1,good
1567,4,good
1568,4,good
1569,24,very good
1570,24,very good
1571,6,very good
1572,4,good
1573,8,very good
1574,8,very good
1575,8,very good
1576,-5,bad
1577,-5,bad
1578,1,good
1579,4,good
1580,1,good
1581,1,good
1582,1,good
1583,1,good
1584,1,good
1585,-3,bad
1586,-3,bad
1587,-5,bad
1588,4,good
1589,1,good
1590,1,good
1591,1,good
1592,-9,very bad
1593,5,very good
1594,1,good
1595,1,good
1596,2,good
1597,2,good
1598,4,good
1599,24,very good
1600,24,very good
1601,1,good
1602,1,good
1603,-3,bad
1604,-3,bad
1605,-5,bad
1606,4,good
1607,1,good
1608,1,good
1609,1,good
1610,-9,very bad
1611,5,very good
1612,1,good
1613,1,good
1614,2,good
1615,2,good
1616,4,good
1617,4,good
1618,-1,bad
1619,-1,bad
1620,1,good
1621,4,good
1622,-4,bad
1623,-4,bad
1624,4,good
1625,4,good
1626,1,good
1627,4,good
1628,-4,bad
1629,-4,bad
1630,-1,bad
1631,-1,bad
1632,1,good
1633,1,good
1634,2,good
1635,-1,bad
1636,4,good
1637,-1,bad
1638,4,good
1639,1,good
1640,4,good
1641,6,very good
1642,3,good
1643,4,good
1644,1,good
1645,4,good
1646,1,good
1647,-3,bad
1648,1,good
1649,1,good
1650,2,good
1651,1,good
1652,1,good
1653,1,good
1654,1,good
1655,1,good
1656,1,good
1657,1,good
1658,1,good
1659,3,good
1660,1,good
1661,1,good
1662,3,good
1663,3,good
1664,1,good
1665,1,good
1666,1,good
1667,1,good
1668,1,good
1669,-1,bad
1670,3,good
1671,-1,bad
1672,4,good
1673,4,good
1674,3,good
1675,-3,bad
1676,2,good
1677,2,good
1678,1,good
1679,-4,bad
1680,1,good
1681,1,good
1682,1,good
1683,1,good
1684,3,good
1685,3,good
1686,1,good
1687,-1,bad
1688,-1,bad
1689,-1,bad
1690,-1,bad
1691,4,good
1692,4,good
1693,1,good
1694,1,good
1695,1,good
1696,1,good
1697,3,good
1698,1,good
1699,1,good
1700,1,good
1701,1,good
1702,1,good
1703,1,good
1704,1,good
1705,3,good
1706,1,good
1707,-1,bad
1708,4,good
1709,3,good
1710,6,very good
1711,1,good
1712,1,good
1713,6,very good
1714,6,very good
1715,1,good
1716,1,good
1717,4,good
1718,1,good
1719,4,good
1720,4,good
1721,1,good
1722,1,good
1723,1,good
1724,1,good
1725,1,good
1726,2,good
1727,3,good
1728,3,good
1729,3,good
1730,3,good
1731,4,good
1732,1,good
1733,1,good
1734,3,good
1735,20,very good
1736,1,good
1737,1,good
1738,1,good
1739,1,good
1740,1,good
1741,6,very good
1742,4,good
1743,2,good
1744,4,good
1745,1,good
1746,4,good
1747,4,good
1748,4,good
1749,16,very good
1750,4,good
1751,6,very good
1752,4,good
1753,4,good
1754,4,good
1755,1,good
1756,-3,bad
1757,-3,bad
1758,8,very good
1759,1,good
1760,3,good
1761,1,good
1762,4,good
1763,4,good
1764,-3,bad
1765,-3,bad
1766,1,good
